codigo_produto;descricaoproduto;codigo_familia;preco_venda_unitario;custo_produto_unitario
242600;Comfortable Clothing Green #983;130 ;17.75;9.18
243800;Versatile Streaming Services Maroon #322;33  ;351.00;194.99
245800;Comfortable Bathroom Fixtures Pink #856;74  ;59.60;24.73
255200;Modern Hand Tools Magenta #766;DFM ;9.00;4.65
255400;Sustainable Hand Tools Orange #139;DFM ;17.55;9.08
268600;Delicious Home Decor Olive #769;60  ;35.90;12.25
269800;Practical Home Decor Orange #674;60  ;13.75;4.98
275800;Useful Kitchenware Maroon #741;67  ;0.80;0.32
275900;Eco-Friendly Kitchenware Brown #857;67  ;1.45;0.56
293000;Luxurious Womens Watches Gold #978;69  ;0.25;0.11
332800;Elegant Clothing Lime #171;130 ;104.75;54.32
353700;Fun Clothing Maroon #891;130 ;17.25;8.90
356000;Practical Earrings Maroon #624;CC  ;22.50;9.81
357800;Useful Earrings White #349;CC  ;105.80;46.20
369400;Long-Lasting Home Decor Maroon #458;60  ;1.15;0.40
395600;Powerful Productivity Olive #205;31  ;246.00;129.32
396300;Durable Womens Watches Black #55;69  ;0.25;0.11
396400;Sustainable Womens Watches Orange #256;69  ;0.35;0.14
403800;Stylish Beverages Olive #103;ELE ;206.00;93.52
407000;High-Quality Electronics Green #386;27  ;418.00;187.49
419200;Sophisticated Kitchenware Gray #918;67  ;24.15;9.35
419400;Modern Creativity Gold #756;DESA;16.90;7.95
424300;Durable Earrings Teal #811;CC  ;22.50;9.81
424500;Practical Home Decor Orange #426;60  ;4.20;1.51
439000;Innovative Furniture Blue #79;150 ;142.10;67.39
447400;Innovative Kitchenware Black #279;67  ;0.60;0.22
449400;High-Quality Furniture Red #6;150 ;810.00;383.92
464100;Fun Womens Watches Olive #965;69  ;0.30;0.12
468400;Stylish Clothing Gray #100;130 ;191.80;76.18
468600;Modern Clothing Gray #502;130 ;191.80;76.18
473100;Comfortable Clothing Orange #369;130 ;60.00;31.08
473200;Comfortable Clothing Maroon #102;130 ;31.75;16.46
477500;Versatile Lawn and Garden Supplies Orange #305;DSF ;39.60;17.29
478700;Delicious Furniture Black #628;150 ;199.00;43.32
489800;Delicious Furniture Red #364;150 ;312.00;132.62
491000;Powerful Bathroom Fixtures Maroon #1;74  ;62.60;25.96
496700;Luxurious Electronics Magenta #479;27  ;304.00;129.98
498800;Long-Lasting Entertainment Olive #9;140 ;117.60;48.79
504001;Elegant Home Decor Gray #291;60  ;8.30;3.51
508000;Fun Clothing Silver #176;130 ;55.25;28.60
508400;Stylish Clothing Navy #341;130 ;60.75;31.50
508500;Elegant Clothing Yellow #730;130 ;21.75;11.17
508600;Delicious Clothing Green #960;130 ;38.75;20.01
509100;Delicious Clothing Cyan #661;130 ;44.75;23.10
509200;Versatile Clothing White #586;130 ;49.75;25.69
509700;High-Quality Furniture Maroon #449;150 ;305.00;129.46
514800;Beautiful Clothing Magenta #157;130 ;39.00;20.15
518500;Comfortable Clothing Teal #182;130 ;74.00;38.27
518600;Beautiful Clothing Lime #512;130 ;59.00;30.57
518800;Modern Clothing Red #466;130 ;23.00;11.84
518900;Sophisticated Clothing Black #936;130 ;44.75;23.14
519100;Fun Clothing Lime #882;130 ;53.75;27.87
519200;Fun Clothing Purple #772;130 ;25.00;12.86
519300;Powerful Clothing Black #752;130 ;19.50;10.05
519700;Eco-Friendly Clothing Navy #226;130 ;37.75;19.57
519800;Sustainable Clothing Pink #558;130 ;38.50;19.89
520000;Durable Clothing White #229;130 ;53.00;27.37
520200;Innovative Clothing Gold #639;130 ;44.75;23.15
520300;Comfortable Clothing Olive #443;130 ;40.75;21.06
528700;Comfortable Clothing Black #340;130 ;46.25;23.87
